Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
人 9.6,5161,3961,0.0000008062,,8,佻,tiāo,frivolous; unsteady; delay
人 9.6,5225,3960,0.0000007597,,8,侩,kuài,"go-between, broker, proxy"
人 9.6,5429,3963,0.0000006305,,8,侪,chái,"a company, companion; together"
人 9.6,5437,3952,0.0000006253,,8,佰,bǎi,hundred
人 9.6,5486,3950,0.0000005943,,8,佶,jí,"strong, robust; exact, correct"
人 9.6,5769,3969,0.0000004289,,8,侔,móu,equal
人 9.6,6199,3954,0.0000002377,,8,侉,kuǎ,to speak with an accent; big and clumsy
人 9.6,6265,6693,0.0000002170,,8,佴,èr,"a second, an assistant"
人 9.6,6320,3953,0.0000001964,,8,侑,yòu,"help, assist, repay kindness"
人 9.6,6518,3962,0.0000001447,,8,佾,yì,a row or file of dancers
人 9.6,—,6695,0.0000000000,,8,侁,shēn,crowd
人 9.6,—,6697,0.0000000000,,8,佸,huó,meet
人 9.6,—,6698,0.0000000000,,8,佺,quán,fairy
人 9.6,—,6700,0.0000000000,,8,㑊,yì,a kind of disease
人 9.6,—,6701,0.0000000000,,8,侂,tuō,"to commission, to entrust to, to depute; to request, to ask"
人 9.6,—,6702,0.0000000000,,8,佽,cì,aid; help
人 9.6,—,6703,0.0000000000,,8,侘,chà,"disappointed, forlorn"
人 9.7,176,1570,0.0011898874,2,9,信,xìn,"trust, believe; letter"
人 9.7,266,1562,0.0008497188,3,9,保,bǎo,"protect, safeguard, defend, care"
人 9.7,271,1556,0.0008241638,2,9,便,biàn,"convenience, ease; expedient"
人 9.7,975,1564,0.0001686683,7–9,9,俄,é,"sudden(ly), soon; Russian"
人 9.7,1086,1574,0.0001367724,6,9,侵,qīn,"invade, encroach upon, raid"
人 9.7,1102,1563,0.0001332892,4,9,促,cù,"urge, press, hurry; close"
人 9.7,1354,1568,0.0000902462,4,9,俗,sú,"social customs; vulgar, unrefined"
人 9.7,1574,1557,0.0000637713,4,9,俩,liǎ,"two, pair"
人 9.7,1756,1576,0.0000495339,,9,侯,hóu,"marquis, lord; target in archery"
人 9.7,1847,1578,0.0000441490,7–9,9,俊,jùn,"talented, capable; handsome"
人 9.7,2057,1569,0.0000340768,7–9,9,俘,fú,prisoner of war; take as prisoner
人 9.7,2621,1566,0.0000162477,7–9,9,侮,wǔ,"insult, ridicule, disgrace"
人 9.7,2880,1561,0.0000115191,7–9,9,俏,qiào,"like, similar; resemble; pretty"
人 9.7,2891,1567,0.0000113331,7–9,9,俭,jiǎn,"temperate, frugal, economical"
人 9.7,3251,4272,0.0000071730,,9,俞,yú,"surname; consent, approve"
人 9.7,3559,4257,0.0000049921,,9,俨,yǎn,"grave, respectful, majestic"
人 9.7,3564,1565,0.0000049611,,9,俐,lì,"smooth; active; clever, sharp"
人 9.7,3605,4267,0.0000047027,,9,俟,qí,"wait for, wait until, as soon as"
人 9.7,4358,4264,0.0000020000,,9,俚,lǐ,"rustic, vulgar, unpolished; mean"
人 9.7,4381,4266,0.0000019379,,9,俑,yǒng,wooden figure buried with dead
人 9.7,4502,4256,0.0000016692,,9,俦,chóu,"companion, mate, colleague"
人 9.7,4648,4259,0.0000013902,,9,俪,lì,"spouse, couple, pair"
人 9.7,4909,4274,0.0000010336,,9,俎,zǔ,chopping board or block; painted
人 9.7,4919,4263,0.0000010181,,9,俣,yǔ,big
人 9.7,5634,4258,0.0000005116,,9,俅,qiú,ornamental cap
人 9.7,6137,6856,0.0000002687,,9,俜,pīng,to trust to; send a message
人 9.7,—,6696,0.0000000000,,8,侹,tǐng,
人 9.7,—,6854,0.0000000000,,9,俫,lái,to induce to come; to encourage
人 9.7,—,6857,0.0000000000,,9,俙,xī,"to pretend, appear as if"
人 9.7,—,6858,0.0000000000,,9,俍,liáng,
人 9.7,—,6863,0.0000000000,,9,侴,chǒu,surname
人 9.8,341,1964,0.0006452838,1,10,候,hòu,wait; expect; visit; greet
人 9.8,600,1956,0.0003500289,3,10,值,zhí,price
人 9.8,608,1960,0.0003443546,2,10,倒,dào,fall over; lie down; take turns
人 9.8,740,1560,0.0002575089,3,9,修,xiū,study; repair; cultivate
人 9.8,984,1955,0.0001655108,2,10,借,jiè,borrow; lend; make pretext of
人 9.8,1223,1954,0.0001080184,6,10,债,zhài,"debt, loan, liabilities"
人 9.8,1260,1959,0.0001025767,6,10,倾,qīng,"upset, pour out, overflow"
人 9.8,1392,1967,0.0000832127,4,10,倍,bèi,"times, fold, multiple times"
人 9.8,1909,1962,0.0000414668,5,10,俱,jù,"all, together; accompany"
人 9.8,2118,1961,0.0000313792,7–9,10,倘,tǎng,"if, supposing, in event of"
